tag_name,tag_type_id
thick_eyebrows,0
plaid_skirt,0
abs,0
umbrella,0
looking_down,0
bandages,0
beach,0
thigh_boots,0
white_footwear,0
horse_girl,0
half-closed_eyes,0
headgear,0
sandals,0
on_side,0
6+girls,0
female_pubic_hair,0
muscular_male,0
floral_print,0
heart-shaped_pupils,0
bob_cut,0
garter_straps,0
short_dress,0
drill_hair,0
wariza,0
arms_behind_back,0
sunglasses,0
obi,0
happy,0
pectorals,0
red_dress,0
testicles,0
shirt_lift,0
eating,0
grabbing,0
transparent_background,0
traditional_media,0
pink_background,0
flying_sweatdrops,0
mouth_hold,0
stuffed_toy,0
dark-skinned_male,0
hood_down,0
frilled_dress,0
squatting,0
clothes_pull,0
cleavage_cutout,0
white_skirt,0
table,0
blue_shirt,0
crossed_arms,0
parody,0
light_brown_hair,0
thigh_gap,0
wavy_mouth,0
from_below,0
hair_tubes,0
leg_up,0
ring,0
oral,0
holding_food,0
bound,0
wolf_ears,0
blue_jacket,0
black_socks,0
moon,0
black_hairband,0
white_flower,0
eyepatch,0
scrunchie,0
skirt_lift,0
sunlight,0
standing_on_one_leg,0
white_bow,0
formal,0
topless,0
cat,0
demon_girl,0
cat_girl,0
trembling,0
mob_cap,0
cardigan,0
backpack,0
magical_girl,0
cellphone,0
pantyshot,0
own_hands_together,0
eyes_visible_through_hair,0
crossed_legs,0
frilled_skirt,0
grass,0
demon_horns,0
crying,0
sharp_teeth,0
tank_top,0
sleeping,0
cover,0
single_hair_bun,0
cloudy_sky,0
blazer,0
suspenders,0
high_ponytail,0
helmet,0
suit,0
feathers,0
3boys,0
cum_on_body,0
bottle,0
stuffed_animal,0
x_hair_ornament,0
underwear_only,0
bdsm,0
fox_girl,0
plant,0
black_background,0
blue_ribbon,0
frilled_sleeves,0
grabbing_another's_breast,0
portrait,0
antenna_hair,0
looking_up,0
light_smile,0
bara,0
school_swimsuit,0
straddling,0
cross,0
hat_ribbon,0
fire,0
bug,0
denim,0
crown,0
knee_boots,0
pink_bow,0
;d,0
red_necktie,0
lifted_by_self,0
outstretched_arms,0
fellatio,0
tiara,0
katana,0
couple,0
breasts_out,0
aged_down,0
red_flower,0
on_stomach,0
crossover,0
juliet_sleeves,0
robot,0
curtains,0
motion_lines,0
spiked_hair,0
sisters,0
sex_from_behind,0
girl_on_top,0
polka_dot,0
>_<,0
black_nails,0
knife,0
bat_wings,0
ear_piercing,0
outstretched_arm,0
?,0
slit_pupils,0
wing_collar,0
bent_over,0
pointing,0
lingerie,0
animal_print,0
clenched_teeth,0
bright_pupils,0
red_shirt,0
elf,0
5girls,0
undressing,0
striped_thighhighs,0
blue_sailor_collar,0
monster_girl,0
